Модель,Эксперимент,Accuracy,Precision,Recall,F1-Score
gemma_3_4b,zero_shot,0.65,0.6111111111111112,1.0,0.7586206896551724
gemma_3_4b,zero_shot_structured,0.8,0.7333333333333333,1.0,0.8461538461538461
gemma_3_4b,zero_shot_limited,0.6,0.6,0.8181818181818182,0.6923076923076923
gemma_3_4b,system_prompt,0.7,0.6470588235294118,1.0,0.7857142857142857
gemma_3_4b,few_shot_system,0.75,0.6875,1.0,0.8148148148148148
gemma_3_4b,few_shot_structured,0.65,0.625,0.9090909090909091,0.7407407407407407
gemma_3_4b,few_shot_limited,0.5,1.0,0.09090909090909091,0.16666666666666666
gemma_3_4b,zero_shot_multioutput_structured,0.55,0.5833333333333334,0.6363636363636364,0.6086956521739131
gemma_3_4b,few_shot_multioutput_structured,0.5,0.5333333333333333,0.7272727272727273,0.6153846153846154
deepseek_r1_1_5b,zero_shot,0.55,0.55,1.0,0.7096774193548387
deepseek_r1_1_5b,zero_shot_structured,0.55,0.55,1.0,0.7096774193548387
deepseek_r1_1_5b,zero_shot_limited,0.45,0.0,0.0,0.0
deepseek_r1_1_5b,system_prompt,0.6,1.0,0.2727272727272727,0.42857142857142855
deepseek_r1_1_5b,few_shot_system,0.55,1.0,0.18181818181818182,0.3076923076923077
deepseek_r1_1_5b,few_shot_structured,0.55,1.0,0.18181818181818182,0.3076923076923077
deepseek_r1_1_5b,few_shot_limited,0.4,0.42857142857142855,0.2727272727272727,0.3333333333333333
deepseek_r1_1_5b,zero_shot_multioutput_structured,0.6,0.6,0.8181818181818182,0.6923076923076923
deepseek_r1_1_5b,few_shot_multioutput_structured,0.45,0.5,0.09090909090909091,0.15384615384615385
